year,plant_time,type,yield,city_area
2016,2,陸稻,0,嘉義市
2016,2,長糯,0,嘉義市
2016,2,圓糯,3595,嘉義市
2016,2,秈稻,0,嘉義市
2016,2,在來,3890,嘉義市
2016,2,蓬萊,3400,嘉義市
2016,1,陸稻,0,嘉義市
2016,1,長糯,6745,嘉義市
2016,1,圓糯,6714,嘉義市
2016,1,秈稻,0,嘉義市
2016,1,在來,6938,嘉義市
2016,1,蓬萊,6785,嘉義市
2016,2,陸稻,0,新竹市
2016,2,長糯,0,新竹市
2016,2,圓糯,0,新竹市
2016,2,秈稻,0,新竹市
2016,2,在來,0,新竹市
2016,2,蓬萊,5118,新竹市
2016,1,陸稻,0,新竹市
2016,1,長糯,0,新竹市
2016,1,圓糯,0,新竹市
2016,1,秈稻,0,新竹市
2016,1,在來,0,新竹市
2016,1,蓬萊,5978,新竹市
2016,2,陸稻,0,基隆市
2016,2,長糯,0,基隆市
2016,2,圓糯,0,基隆市
2016,2,秈稻,0,基隆市
2016,2,在來,0,基隆市
2016,2,蓬萊,0,基隆市
2016,1,陸稻,0,基隆市
2016,1,長糯,0,基隆市
2016,1,圓糯,0,基隆市
2016,1,秈稻,0,基隆市
2016,1,在來,0,基隆市
2016,1,蓬萊,0,基隆市
2016,2,陸稻,0,澎湖縣
2016,2,長糯,0,澎湖縣
2016,2,圓糯,0,澎湖縣
2016,2,秈稻,0,澎湖縣
2016,2,在來,0,澎湖縣
2016,2,蓬萊,0,澎湖縣
2016,1,陸稻,0,澎湖縣
2016,1,長糯,0,澎湖縣
2016,1,圓糯,0,澎湖縣
2016,1,秈稻,0,澎湖縣
2016,1,在來,0,澎湖縣
2016,1,蓬萊,0,澎湖縣
2016,2,陸稻,0,花蓮縣
2016,2,長糯,2835,花蓮縣
2016,2,圓糯,4065,花蓮縣
2016,2,秈稻,4399,花蓮縣
2016,2,在來,0,花蓮縣
2016,2,蓬萊,3934,花蓮縣
2016,1,陸稻,0,花蓮縣
2016,1,長糯,7142,花蓮縣
2016,1,圓糯,5975,花蓮縣
2016,1,秈稻,6445,花蓮縣
2016,1,在來,0,花蓮縣
2016,1,蓬萊,6020,花蓮縣
2016,2,陸稻,0,臺東縣
2016,2,長糯,0,臺東縣
2016,2,圓糯,4354,臺東縣
2016,2,秈稻,0,臺東縣
2016,2,在來,0,臺東縣
2016,2,蓬萊,4313,臺東縣
2016,1,陸稻,0,臺東縣
2016,1,長糯,0,臺東縣
2016,1,圓糯,5924,臺東縣
2016,1,秈稻,0,臺東縣
2016,1,在來,0,臺東縣
2016,1,蓬萊,6158,臺東縣
2016,2,陸稻,0,屏東縣
2016,2,長糯,0,屏東縣
2016,2,圓糯,4189,屏東縣
2016,2,秈稻,0,屏東縣
2016,2,在來,0,屏東縣
2016,2,蓬萊,4188,屏東縣
2016,1,陸稻,0,屏東縣
2016,1,長糯,7411,屏東縣
2016,1,圓糯,7406,屏東縣
2016,1,秈稻,0,屏東縣
2016,1,在來,7439,屏東縣
2016,1,蓬萊,7426,屏東縣
2016,2,陸稻,0,高雄縣
2016,2,長糯,0,高雄縣
2016,2,圓糯,0,高雄縣
2016,2,秈稻,0,高雄縣
2016,2,在來,0,高雄縣
2016,2,蓬萊,0,高雄縣
2016,1,陸稻,0,高雄縣
2016,1,長糯,0,高雄縣
2016,1,圓糯,0,高雄縣
2016,1,秈稻,0,高雄縣
2016,1,在來,0,高雄縣
2016,1,蓬萊,0,高雄縣
2016,2,陸稻,0,臺南縣
2016,2,長糯,0,臺南縣
2016,2,圓糯,0,臺南縣
2016,2,秈稻,0,臺南縣
2016,2,在來,0,臺南縣
2016,2,蓬萊,0,臺南縣
2016,1,陸稻,0,臺南縣
2016,1,長糯,0,臺南縣
2016,1,圓糯,0,臺南縣
2016,1,秈稻,0,臺南縣
2016,1,在來,0,臺南縣
2016,1,蓬萊,0,臺南縣
2016,2,陸稻,0,嘉義縣
2016,2,長糯,3337,嘉義縣
2016,2,圓糯,3243,嘉義縣
2016,2,秈稻,3254,嘉義縣
2016,2,在來,4002,嘉義縣
2016,2,蓬萊,3328,嘉義縣
2016,1,陸稻,0,嘉義縣
2016,1,長糯,6815,嘉義縣
2016,1,圓糯,6670,嘉義縣
2016,1,秈稻,6501,嘉義縣
2016,1,在來,7033,嘉義縣
2016,1,蓬萊,6945,嘉義縣
2016,2,陸稻,0,雲林縣
2016,2,長糯,4740,雲林縣
2016,2,圓糯,4824,雲林縣
2016,2,秈稻,5058,雲林縣
2016,2,在來,5143,雲林縣
2016,2,蓬萊,5263,雲林縣
2016,1,陸稻,0,雲林縣
2016,1,長糯,7401,雲林縣
2016,1,圓糯,7415,雲林縣
2016,1,秈稻,6975,雲林縣
2016,1,在來,7317,雲林縣
2016,1,蓬萊,7562,雲林縣
2016,2,陸稻,0,南投縣
2016,2,長糯,5055,南投縣
2016,2,圓糯,5165,南投縣
2016,2,秈稻,0,南投縣
2016,2,在來,0,南投縣
2016,2,蓬萊,5252,南投縣
2016,1,陸稻,0,南投縣
2016,1,長糯,0,南投縣
2016,1,圓糯,0,南投縣
2016,1,秈稻,6800,南投縣
2016,1,在來,0,南投縣
2016,1,蓬萊,6937,南投縣
2016,2,陸稻,0,彰化縣
2016,2,長糯,4287,彰化縣
2016,2,圓糯,4508,彰化縣
2016,2,秈稻,4009,彰化縣
2016,2,在來,4750,彰化縣
2016,2,蓬萊,4469,彰化縣
2016,1,陸稻,0,彰化縣
2016,1,長糯,7035,彰化縣
2016,1,圓糯,7268,彰化縣
2016,1,秈稻,7187,彰化縣
2016,1,在來,7323,彰化縣
2016,1,蓬萊,7287,彰化縣
2016,2,陸稻,0,臺中縣
2016,2,長糯,0,臺中縣
2016,2,圓糯,0,臺中縣
2016,2,秈稻,0,臺中縣
2016,2,在來,0,臺中縣
2016,2,蓬萊,0,臺中縣
2016,1,陸稻,0,臺中縣
2016,1,長糯,0,臺中縣
2016,1,圓糯,0,臺中縣
2016,1,秈稻,0,臺中縣
2016,1,在來,0,臺中縣
2016,1,蓬萊,0,臺中縣
2016,2,陸稻,0,苗栗縣
2016,2,長糯,3620,苗栗縣
2016,2,圓糯,3875,苗栗縣
2016,2,秈稻,3445,苗栗縣
2016,2,在來,3510,苗栗縣
2016,2,蓬萊,3695,苗栗縣
2016,1,陸稻,0,苗栗縣
2016,1,長糯,6970,苗栗縣
2016,1,圓糯,6965,苗栗縣
2016,1,秈稻,6966,苗栗縣
2016,1,在來,6562,苗栗縣
2016,1,蓬萊,6412,苗栗縣
2016,2,陸稻,0,新竹縣
2016,2,長糯,0,新竹縣
2016,2,圓糯,0,新竹縣
2016,2,秈稻,0,新竹縣
2016,2,在來,3335,新竹縣
2016,2,蓬萊,4702,新竹縣
2016,1,陸稻,0,新竹縣
2016,1,長糯,0,新竹縣
2016,1,圓糯,5124,新竹縣
2016,1,秈稻,5124,新竹縣
2016,1,在來,5051,新竹縣
2016,1,蓬萊,5298,新竹縣
2016,2,陸稻,0,宜蘭縣
2016,2,長糯,0,宜蘭縣
2016,2,圓糯,0,宜蘭縣
2016,2,秈稻,0,宜蘭縣
2016,2,在來,0,宜蘭縣
2016,2,蓬萊,0,宜蘭縣
2016,1,陸稻,0,宜蘭縣
2016,1,長糯,6034,宜蘭縣
2016,1,圓糯,6255,宜蘭縣
2016,1,秈稻,6233,宜蘭縣
2016,1,在來,0,宜蘭縣
2016,1,蓬萊,6208,宜蘭縣
2016,2,陸稻,0,高雄市
2016,2,長糯,3663,高雄市
2016,2,圓糯,0,高雄市
2016,2,秈稻,3972,高雄市
2016,2,在來,3850,高雄市
2016,2,蓬萊,3891,高雄市
2016,1,陸稻,0,高雄市
2016,1,長糯,7322,高雄市
2016,1,圓糯,7172,高雄市
2016,1,秈稻,7174,高雄市
2016,1,在來,0,高雄市
2016,1,蓬萊,7263,高雄市
2016,2,陸稻,0,臺南市
2016,2,長糯,3638,臺南市
2016,2,圓糯,3552,臺南市
2016,2,秈稻,3802,臺南市
2016,2,在來,3284,臺南市
2016,2,蓬萊,3894,臺南市
2016,1,陸稻,0,臺南市
